Name	InDbName	InDbType	AltURI	thing:locatedIn
WEST	West	Region	thing:Place	
EAST	East	Region	thing:Place	
SOUTH	South	Region	thing:Place	
AF166-Ta-Y2	AF166	SampledField	thing:Place,obo:ENVO_00000114	East
AF167-Ta-Y2	AF167	SampledField	thing:Place,obo:ENVO_00000114	East
AF168-Ta-Y2	AF168	SampledField	thing:Place,obo:ENVO_00000114	East
AF169-Ta-Y2	AF169	SampledField	thing:Place,obo:ENVO_00000114	East
AF170-Ta-Y2	AF170	SampledField	thing:Place,obo:ENVO_00000114	South
AF171-Ta-Y2	AF171	SampledField	thing:Place,obo:ENVO_00000114	South
AF172-Ta-Y2	AF172	SampledField	thing:Place,obo:ENVO_00000114	South
AF173-Ta-Y2	AF173	SampledField	thing:Place,obo:ENVO_00000114	South
AF174-Ta-Y2	AF174	SampledField	thing:Place,obo:ENVO_00000114	South
AF175-Ta-Y2	AF175	SampledField	thing:Place,obo:ENVO_00000114	South
AF176-Ta-Y2	AF176	SampledField	thing:Place,obo:ENVO_00000114	South
AF177-Ta-Y2	AF177	SampledField	thing:Place,obo:ENVO_00000114	South
AF178-Ta-Y2	AF178	SampledField	thing:Place,obo:ENVO_00000114	South
AF179-Ta-Y2	AF179	SampledField	thing:Place,obo:ENVO_00000114	South
AF180-Ta-Y2	AF180	SampledField	thing:Place,obo:ENVO_00000114	South
AF181-Ta-Y2	AF181	SampledField	thing:Place,obo:ENVO_00000114	South
AF182-Ta-Y2	AF182	SampledField	thing:Place,obo:ENVO_00000114	South
AF183-Ta-Y2	AF183	SampledField	thing:Place,obo:ENVO_00000114	South
AF184-Ta-Y2	AF184	SampledField	thing:Place,obo:ENVO_00000114	West
AF185-Ta-Y2	AF185	SampledField	thing:Place,obo:ENVO_00000114	West
AF186-Ta-Y2	AF186	SampledField	thing:Place,obo:ENVO_00000114	West
AF187-Ta-Y2	AF187	SampledField	thing:Place,obo:ENVO_00000114	West
AF188-Ta-Y2	AF188	SampledField	thing:Place,obo:ENVO_00000114	West
AF189-Ta-Y2	AF189	SampledField	thing:Place,obo:ENVO_00000114	West
AF190-Ta-Y2	AF190	SampledField	thing:Place,obo:ENVO_00000114	West
AF191-Ta-Y2	AF191	SampledField	thing:Place,obo:ENVO_00000114	West
AF192-Ta-Y2	AF192	SampledField	thing:Place,obo:ENVO_00000114	West
AF193-Ta-Y2	AF193	SampledField	thing:Place,obo:ENVO_00000114	West
AF194-Ta-Y2	AF194	SampledField	thing:Place,obo:ENVO_00000114	West
AF195-Ta-Y2	AF195	SampledField	thing:Place,obo:ENVO_00000114	West
AF196-Ta-Y2	AF196	SampledField	thing:Place,obo:ENVO_00000114	West
AF197-Ta-Y2	AF197	SampledField	thing:Place,obo:ENVO_00000114	West
AF198-Ta-Y2	AF198	SampledField	thing:Place,obo:ENVO_00000114	West
AF199-Ta-Y2	AF199	SampledField	thing:Place,obo:ENVO_00000114	West
AF200-Ta-Y2	AF200	SampledField	thing:Place,obo:ENVO_00000114	West
AF201-Ta-Y2	AF201	SampledField	thing:Place,obo:ENVO_00000114	East
AF001-Bn-Y1-PA	AF001-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF001
AF001-Bn-Y1-PB	AF001-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF001
AF001-Bn-Y1-PC	AF001-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF001
AF001-Bn-Y1-PD	AF001-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF001
AF001-Bn-Y1-P1	AF001-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF001
AF001-Bn-Y1-P2	AF001-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF001
AF001-Bn-Y1-P3	AF001-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF001
AF001-Bn-Y1-P4	AF001-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF001
AF002-Bn-Y1-PA	AF002-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF002
AF002-Bn-Y1-PB	AF002-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF002
AF002-Bn-Y1-PC	AF002-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF002
AF002-Bn-Y1-PD	AF002-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF002
AF002-Bn-Y1-P1	AF002-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF002
AF002-Bn-Y1-P2	AF002-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF002
AF002-Bn-Y1-P3	AF002-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF002
AF002-Bn-Y1-P4	AF002-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF002
AF003-Bn-Y1-PA	AF003-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF003
AF003-Bn-Y1-PB	AF003-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF003
AF003-Bn-Y1-PC	AF003-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF003
AF003-Bn-Y1-PD	AF003-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF003
AF003-Bn-Y1-P1	AF003-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF003
AF003-Bn-Y1-P2	AF003-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF003
AF003-Bn-Y1-P3	AF003-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF003
AF003-Bn-Y1-P4	AF003-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF003
AF004-Bn-Y1-PA	AF004-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF004
AF004-Bn-Y1-PB	AF004-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF004
AF004-Bn-Y1-PC	AF004-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF004
AF004-Bn-Y1-PD	AF004-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF004
AF004-Bn-Y1-P1	AF004-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF004
AF004-Bn-Y1-P2	AF004-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF004
AF004-Bn-Y1-P3	AF004-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF004
AF004-Bn-Y1-P4	AF004-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF004
AF005-Bn-Y1-PA	AF005-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF005
AF005-Bn-Y1-PB	AF005-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF005
AF005-Bn-Y1-PC	AF005-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF005
AF005-Bn-Y1-PD	AF005-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF005
AF005-Bn-Y1-P1	AF005-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF005
AF005-Bn-Y1-P2	AF005-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF005
AF005-Bn-Y1-P3	AF005-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF005
AF005-Bn-Y1-P4	AF005-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF005
AF006-Bn-Y1-PA	AF006-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF006
AF006-Bn-Y1-PB	AF006-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF006
AF006-Bn-Y1-PC	AF006-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF006
AF006-Bn-Y1-PD	AF006-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF006
AF006-Bn-Y1-P1	AF006-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF006
AF006-Bn-Y1-P2	AF006-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF006
AF006-Bn-Y1-P3	AF006-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF006
AF006-Bn-Y1-P4	AF006-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF006
AF007-Bn-Y1-PA	AF007-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF007
AF007-Bn-Y1-PB	AF007-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF007
AF007-Bn-Y1-PC	AF007-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF007
AF007-Bn-Y1-PD	AF007-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF007
AF007-Bn-Y1-P1	AF007-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF007
AF007-Bn-Y1-P2	AF007-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF007
AF007-Bn-Y1-P3	AF007-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF007
AF007-Bn-Y1-P4	AF007-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF007
AF008-Bn-Y1-PA	AF008-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF008
AF008-Bn-Y1-PB	AF008-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF008
AF008-Bn-Y1-PC	AF008-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF008
AF008-Bn-Y1-PD	AF008-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF008
AF008-Bn-Y1-P1	AF008-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF008
AF008-Bn-Y1-P2	AF008-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF008
AF008-Bn-Y1-P3	AF008-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF008
AF008-Bn-Y1-P4	AF008-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF008
AF009-Bn-Y1-PA	AF009-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF009
AF009-Bn-Y1-PB	AF009-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF009
AF009-Bn-Y1-PC	AF009-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF009
AF009-Bn-Y1-PD	AF009-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF009
AF009-Bn-Y1-P1	AF009-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF009
AF009-Bn-Y1-P2	AF009-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF009
AF009-Bn-Y1-P3	AF009-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF009
AF009-Bn-Y1-P4	AF009-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF009
AF010-Bn-Y1-PA	AF010-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF010
AF010-Bn-Y1-PB	AF010-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF010
AF010-Bn-Y1-PC	AF010-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF010
AF010-Bn-Y1-PD	AF010-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF010
AF010-Bn-Y1-P1	AF010-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF010
AF010-Bn-Y1-P2	AF010-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF010
AF010-Bn-Y1-P3	AF010-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF010
AF010-Bn-Y1-P4	AF010-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF010
AF011-Bn-Y1-PA	AF011-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF011
AF011-Bn-Y1-PB	AF011-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF011
AF011-Bn-Y1-PC	AF011-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF011
AF011-Bn-Y1-PD	AF011-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF011
AF011-Bn-Y1-P1	AF011-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF011
AF011-Bn-Y1-P2	AF011-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF011
AF011-Bn-Y1-P3	AF011-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF011
AF011-Bn-Y1-P4	AF011-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF011
AF012-Bn-Y1-PA	AF012-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF012
AF012-Bn-Y1-PB	AF012-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF012
AF012-Bn-Y1-PC	AF012-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF012
AF012-Bn-Y1-PD	AF012-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF012
AF012-Bn-Y1-P1	AF012-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF012
AF012-Bn-Y1-P2	AF012-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF012
AF012-Bn-Y1-P3	AF012-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF012
AF012-Bn-Y1-P4	AF012-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF012
AF013-Bn-Y1-PA	AF013-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF013
AF013-Bn-Y1-PB	AF013-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF013
AF013-Bn-Y1-PC	AF013-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF013
AF013-Bn-Y1-PD	AF013-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF013
AF013-Bn-Y1-P1	AF013-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF013
AF013-Bn-Y1-P2	AF013-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF013
AF013-Bn-Y1-P3	AF013-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF013
AF013-Bn-Y1-P4	AF013-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF013
AF014-Bn-Y1-PA	AF014-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF014
AF014-Bn-Y1-PB	AF014-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF014
AF014-Bn-Y1-PC	AF014-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF014
AF014-Bn-Y1-PD	AF014-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF014
AF014-Bn-Y1-P1	AF014-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF014
AF014-Bn-Y1-P2	AF014-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF014
AF014-Bn-Y1-P3	AF014-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF014
AF014-Bn-Y1-P4	AF014-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF014
AF015-Bn-Y1-PA	AF015-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF015
AF015-Bn-Y1-PB	AF015-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF015
AF015-Bn-Y1-PC	AF015-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF015
AF015-Bn-Y1-PD	AF015-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF015
AF015-Bn-Y1-P1	AF015-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF015
AF015-Bn-Y1-P2	AF015-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF015
AF015-Bn-Y1-P3	AF015-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF015
AF015-Bn-Y1-P4	AF015-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF015
AF016-Bn-Y1-PA	AF016-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF016
AF016-Bn-Y1-PB	AF016-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF016
AF016-Bn-Y1-PC	AF016-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF016
AF016-Bn-Y1-PD	AF016-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF016
AF016-Bn-Y1-P1	AF016-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF016
AF016-Bn-Y1-P2	AF016-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF016
AF016-Bn-Y1-P3	AF016-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF016
AF016-Bn-Y1-P4	AF016-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF016
AF017-Bn-Y1-PA	AF017-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF017
AF017-Bn-Y1-PB	AF017-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF017
AF017-Bn-Y1-PC	AF017-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF017
AF017-Bn-Y1-PD	AF017-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF017
AF017-Bn-Y1-P1	AF017-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF017
AF017-Bn-Y1-P2	AF017-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF017
AF017-Bn-Y1-P3	AF017-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF017
AF017-Bn-Y1-P4	AF017-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF017
AF018-Bn-Y1-PA	AF018-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF018
AF018-Bn-Y1-PB	AF018-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF018
AF018-Bn-Y1-PC	AF018-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF018
AF018-Bn-Y1-PD	AF018-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF018
AF018-Bn-Y1-P1	AF018-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF018
AF018-Bn-Y1-P2	AF018-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF018
AF018-Bn-Y1-P3	AF018-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF018
AF018-Bn-Y1-P4	AF018-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF018
AF019-Bn-Y1-PA	AF019-PA	SamplingPlot	thing:Place,obo:AGRO_00000301	AF019
AF019-Bn-Y1-PB	AF019-PB	SamplingPlot	thing:Place,obo:AGRO_00000301	AF019
AF019-Bn-Y1-PC	AF019-PC	SamplingPlot	thing:Place,obo:AGRO_00000301	AF019
AF019-Bn-Y1-PD	AF019-PD	SamplingPlot	thing:Place,obo:AGRO_00000301	AF019
AF019-Bn-Y1-P1	AF019-P1	SamplingPlot	thing:Place,obo:AGRO_00000301	AF019
AF019-Bn-Y1-P2	AF019-P2	SamplingPlot	thing:Place,obo:AGRO_00000301	AF019
AF019-Bn-Y1-P3	AF019-P3	SamplingPlot	thing:Place,obo:AGRO_00000301	AF019
AF019-Bn-Y1-P4	AF019-P4	SamplingPlot	thing:Place,obo:AGRO_00000301	AF019
